Price,Type,Parking Spaces,Land Size,Building Size,Architecture Style,Bedrooms,Bathrooms,Livingrooms,Basements,State
2200.0,House,0.0,668.44,136.2,Other,3.0,2.0,1.0,0.0,Arizona
3000.0,Apartment,0.0,161.87,205.13,Other,2.0,3.0,1.0,0.0,Pennsylvania
1195.0,Apartment,0.0,768.9,133.04,Other,1.0,1.0,1.0,0.0,Pennsylvania
8000.0,Townhouse,0.0,728.43,213.68,Other,4.0,3.0,1.0,0.0,California
5600.0,House,4.0,849.84,266.72,Colonial,4.0,3.0,1.0,1.0,Virginia
1450.0,Apartment,0.0,890.31,74.32,Contemporary,2.0,1.0,1.0,0.0,Maryland
4000.0,Other,0.0,668.44,133.04,Other,3.0,2.0,1.0,0.0,Maryland
1925.0,Apartment,0.0,971.25,77.11,Other,1.0,1.0,1.0,0.0,Pennsylvania
3500.0,Townhouse,1.0,242.81,106.84,Rambler,3.0,3.0,1.0,1.0,Pennsylvania
1695.0,Apartment,0.0,566.56,51.19,Other,1.0,1.0,1.0,0.0,Pennsylvania
2475.0,Apartment,0.0,971.25,120.77,Other,2.0,2.0,1.0,0.0,Pennsylvania
850.0,Apartment,0.0,728.43,27.87,Other,3.0,1.0,1.0,0.0,Pennsylvania
2195.0,Townhouse,1.0,668.44,145.76,New Traditional,3.0,3.0,1.0,1.0,North Carolina
1200.0,Apartment,0.0,40.47,53.33,Other,1.0,1.0,1.0,0.0,Maryland
1600.0,Townhouse,0.0,80.94,69.68,Other,2.0,2.0,1.0,0.0,Pennsylvania
1100.0,Apartment,0.0,668.44,122.63,Other,1.0,1.0,1.0,0.0,Pennsylvania
11000.0,Townhouse,0.0,242.81,339.93,Contemporary,4.0,5.0,1.0,0.0,Oregon
1990.0,Apartment,0.0,668.44,74.79,Other,1.0,1.0,1.0,0.0,Pennsylvania
3200.0,Townhouse,3.0,121.41,236.25,Colonial,3.0,3.0,1.0,1.0,Maryland
3280.0,Apartment,0.0,668.44,88.26,Other,2.0,2.0,1.0,0.0,Pennsylvania
1620.0,Apartment,0.0,668.44,78.04,Other,2.0,1.0,1.0,0.0,Maryland
2300.0,Townhouse,0.0,668.44,160.91,Contemporary,3.0,3.0,1.0,0.0,New Jersey
1500.0,Apartment,0.0,668.44,61.32,Other,1.0,1.0,1.0,0.0,Maryland
2850.0,Townhouse,2.0,161.87,124.12,Colonial,3.0,3.0,1.0,1.0,Maryland
2000.0,House,0.0,668.44,148.64,Bungalow,2.0,1.0,1.0,1.0,Pennsylvania
3700.0,Townhouse,0.0,161.87,243.41,Other,3.0,4.0,1.0,1.0,Maryland
2900.0,Townhouse,1.0,161.87,152.36,New Traditional,3.0,2.0,1.0,1.0,New Jersey
2230.0,Townhouse,0.0,668.44,112.41,Other,3.0,3.0,1.0,0.0,Maryland
2000.0,Townhouse,0.0,668.44,117.71,Contemporary,2.0,2.0,1.0,0.0,New Jersey
2500.0,House,0.0,890.31,155.24,Other,3.0,2.0,1.0,0.0,Florida
1900.0,Apartment,0.0,890.31,100.99,Other,2.0,2.0,1.0,0.0,Florida
2500.0,House,0.0,930.78,204.57,Other,4.0,2.0,1.0,0.0,Florida
7999.0,House,0.0,485.62,240.25,Other,5.0,4.0,1.0,0.0,Florida
2750.0,Apartment,0.0,7810.44,121.42,Other,2.0,2.0,1.0,0.0,Florida
1100.0,Townhouse,0.0,161.87,106.65,Other,1.0,1.0,1.0,0.0,Pennsylvania
1000.0,House,0.0,687.97,79.71,Other,2.0,1.0,1.0,0.0,New York
2400.0,Townhouse,0.0,80.94,69.49,New Traditional,2.0,1.0,1.0,1.0,Maryland
2850.0,House,2.0,849.84,233.37,Split Level,4.0,3.0,1.0,1.0,Maryland
2200.0,House,0.0,768.9,197.05,Other,3.0,2.0,1.0,0.0,Indiana
1650.0,Apartment,0.0,668.44,82.68,Other,2.0,2.0,1.0,0.0,Maryland
1475.0,Apartment,0.0,176281216.0,66.15,Other,1.0,1.0,1.0,0.0,Florida
10500.0,Apartment,0.0,668.44,235.7,Other,2.0,3.0,1.0,0.0,Florida
1975.0,Apartment,0.0,80.94,143.26,Other,3.0,2.0,1.0,0.0,New York
4300.0,Apartment,0.0,566560.38,217.21,Other,3.0,3.0,1.0,0.0,Florida
2850.0,House,0.0,1173.59,236.07,Other,4.0,2.0,1.0,0.0,Florida
2500.0,House,0.0,242.81,242.85,Other,4.0,4.0,1.0,0.0,Florida
1800.0,Townhouse,0.0,80.94,96.15,Other,2.0,3.0,1.0,0.0,Florida
