Price,Rooms,Type,Status,Parking Spaces,Land Size,Building Size,Architecture Style,County,Provider
"USD $2,200 per month","3 bedroom(s), 2 bathroom(s)",House,Active,,,136.20 m2,Other,Mohave,"Black Mountain Valley Realty, Inc"
"USD $3,000 per month","2 bedroom(s), 3 bathroom(s)",Apartment,Active,,161.87 m2,205.13 m2,Other,PHILADELPHIA,Compass
"USD $1,195 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,768.90 m2,,Other,PHILADELPHIA,OCF Realty
"USD $8,000 per month","4 bedroom(s), 3 bathroom(s)",Townhouse,Active,,728.43 m2,213.68 m2,Other,Ventura,eXp Realty of California Inc.
"USD $5,600 per month","4 bedroom(s), 3 bathroom(s), 1 basement(s)",House,Active,4,849.84 m2,266.72 m2,Colonial,FAIRFAX,Keller Williams Fairfax Gateway
"USD $1,450 per month","2 bedroom(s), 1 bathroom(s)",Apartment,Active,,890.31 m2,74.32 m2,Contemporary,PRINCE GEORGES,"Century 21 Trademark Realty, Inc."
"USD $4,000 per month",,Other,Active,,,,Other,MONTGOMERY,Compass
"USD $1,925 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,971.25 m2,77.11 m2,Other,PHILADELPHIA,National Realty Old City LLC
"USD $3,500 per month","3 bedroom(s), 3 bathroom(s), 1 basement(s)",Townhouse,Active,1,242.81 m2,106.84 m2,Rambler,PHILADELPHIA,"RE/MAX Properties, Ltd."
"USD $1,695 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,566.56 m2,51.19 m2,Other,PHILADELPHIA,JG Real Estate
"USD $2,475 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,,971.25 m2,120.77 m2,Other,PHILADELPHIA,National Realty Old City LLC
USD $850 per month,1 bathroom(s),Apartment,Active,,728.43 m2,27.87 m2,Other,PHILADELPHIA,Compass
"USD $2,195 per month","3 bedroom(s), 3 bathroom(s), 1 basement(s)",Townhouse,Active,1,,145.76 m2,New Traditional,CUMBERLAND,Turn Key Realty Group
"USD $2,245 per month","2 bedroom(s), 3 bathroom(s)",Apartment,Active,,161.87 m2,205.13 m2,Other,PHILADELPHIA,Compass
"USD $1,200 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,40.47 m2,53.33 m2,Other,MONTGOMERY,Philadelphia Real Estate Professionals
"USD $1,600 per month","2 bedroom(s), 2 bathroom(s)",Townhouse,Active,,80.94 m2,69.68 m2,Other,PHILADELPHIA,RE/MAX Home Experts
"USD $1,100 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,,122.63 m2,Other,PHILADELPHIA,"Higgins & Welch Real Estate, Inc."
"USD $11,000 per month","4 bedroom(s), 5 bathroom(s)",Townhouse,Active,,242.81 m2,339.93 m2,Contemporary,WASHINGTON,eXp Realty
"USD $1,990 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,,74.79 m2,Other,PHILADELPHIA,Maxwell Realty Company Inc
"USD $3,200 per month","3 bedroom(s), 3 bathroom(s), 1 basement(s)",Townhouse,Active,3,121.41 m2,236.25 m2,Colonial,MONTGOMERY,RE/MAX Services
"USD $3,280 per month","2 bedroom(s), 2 bathroom(s)",Apartment,Active,,,88.26 m2,Other,PHILADELPHIA,Maxwell Realty Company Inc
"USD $1,620 per month","2 bedroom(s), 1 bathroom(s)",Apartment,Active,,,78.04 m2,Other,HARFORD,Cummings & Co. Realtors
"USD $2,300 per month","3 bedroom(s), 3 bathroom(s)",Townhouse,Active,,,160.91 m2,Contemporary,GLOUCESTER,Realty Solutions LLC
"USD $1,500 per month","1 bedroom(s), 1 bathroom(s)",Apartment,Active,,,61.32 m2,Other,HARFORD,Cummings & Co. Realtors
"USD $2,850 per month","3 bedroom(s), 3 bathroom(s), 1 basement(s)",Townhouse,Active,2,161.87 m2,124.12 m2,Colonial,PRINCE GEORGES,RLAH @Properties
